player,percentage_service,games_won_service,games_total_service,matches,year,surface
Nicolas Massu,66.67%,94,141,13,2009,Clay
Fabio Fognini,66.06%,216,327,32,2009,Clay
Christophe Rochus,64.97%,115,177,17,2009,Clay
Rainer Schuettler,60.32%,76,126,12,2009,Clay
Diego Junqueira,60.24%,100,166,14,2009,Clay
Rafael Nadal,91.18%,217,238,22,2010,Clay
Roger Federer,87.43%,153,175,14,2010,Clay
Tomas Berdych,86.79%,184,212,18,2010,Clay
Nicolas Almagro,85.86%,407,474,39,2010,Clay
Robin Soderling,85.56%,231,270,20,2010,Clay
Santiago Giraldo,85.39%,76,89,12,2010,Clay
Ernests Gulbis,85.21%,144,169,16,2010,Clay
John Isner,85.07%,188,221,18,2010,Clay
Stan Wawrinka,84.12%,196,233,23,2010,Clay
Marin Cilic,83.42%,161,193,14,2010,Clay
Jo-Wilfried Tsonga,82.91%,131,158,13,2010,Clay
Sam Querrey,82.57%,180,218,19,2010,Clay
Richard Gasquet,82.46%,235,285,24,2010,Clay
Juan Carlos Ferrero,82.37%,327,397,35,2010,Clay
Leonardo Mayer,81.99%,132,161,11,2010,Clay
Potito Starace,81.52%,278,341,31,2010,Clay
David Ferrer,81.33%,305,375,38,2010,Clay
Fernando Gonzalez,81.03%,141,174,15,2010,Clay
Jurgen Melzer,80.81%,240,297,25,2010,Clay
Feliciano Lopez,80.37%,86,107,11,2010,Clay
Mikhail Youzhny,80.10%,165,206,17,2010,Clay
Daniel Gimeno-Traver,80.00%,232,290,25,2010,Clay
Thiemo de Bakker,79.86%,115,144,11,2010,Clay
Marco Chiudinelli,79.65%,137,172,16,2010,Clay
Denis Istomin,79.64%,133,167,12,2010,Clay
Victor Hanescu,79.60%,238,299,29,2010,Clay
Guillermo Garcia-Lopez,79.07%,170,215,20,2010,Clay
Novak Djokovic,78.95%,135,171,16,2010,Clay
Marcos Baghdatis,78.95%,135,171,14,2010,Clay
Florian Mayer,78.81%,93,118,12,2010,Clay
Andrey Golubev,78.08%,114,146,16,2010,Clay
Gael Monfils,78.00%,117,150,12,2010,Clay
Andy Murray,77.95%,99,127,10,2010,Clay
Philipp Kohlschreiber,77.93%,173,222,20,2010,Clay
Horacio Zeballos,77.86%,204,262,22,2010,Clay
Juan Monaco,77.82%,221,284,25,2010,Clay
Fernando Verdasco,77.68%,275,354,29,2010,Clay
Philipp Petzschner,77.12%,118,153,13,2010,Clay
Tommy Robredo,76.80%,96,125,11,2010,Clay
Viktor Troicki,76.69%,125,163,16,2010,Clay
Andreas Seppi,76.34%,213,279,24,2010,Clay
